Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
Wingtech Mobile Communication,3.8,119,Electronics Manufacturing,Tirupati +5 other locations,None,Promotions / Appraisal
VK Building Services,3.9,119,Engineering & Construction,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Company Culture"
Amantya Technologies,3.8,119,IT Services & Consulting,Gurgaon / Gurugram +3 other locations,None,None
Modern Foods,3.9,119,Food Processing,Chennai +20 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Velammal Educational Trust,3.7,119,Education & Training,Chennai +9 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Ilensys Technologies,4.2,119,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,"Job Security, Company Culture, Work Life Balance",None
Frick India,4.3,119,Industrial Machinery,Faridabad +12 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
Futuresoft Solutions,3.5,119,IT Services & Consulting,New Delhi +20 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Topsel Toyota,4.2,119,Automobile,Kolkata +7 other locations,"Job Security, Company Culture, Work Life Balance",None
Wingtech Mobile Communication,3.8,119,Electronics Manufacturing,Tirupati +5 other locations,None,Promotions / Appraisal
VK Building Services,3.9,119,Engineering & Construction,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Company Culture"
SOTI,3.3,119,Software Product,Gurgaon / Gurugram +8 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Indian Register of Shipping,4.1,119,Ports & Shipping,Mumbai +29 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Gleneagles Global Hospital,4.1,119,Pharma,Hyderabad / Secunderabad +5 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
